datetime,temperature_C,humidity_pct,feels_like_C,rainfall_mm,wind_speed_kmh,wind_dir_deg,pressure_hpa,cloud_cover_pct,visibility_km,dew_point_C,solar_rad_Wm2,is_daytime,year,month,day,hour,day_of_week,is_weekend,temp_diff,wind_category,feels_hotter,high_humidity,is_rain
2016-01-01 00:00:00,23.7,63.2,24.6,0.0,8.2,74.7,1014.9,0.0,,16.3,0.0,0.0,2016,1,1,0,4,0,-0.9,breeze,1,0,0
2016-01-01 01:00:00,22.6,68.5,23.8,0.0,7.6,70.7,1014.4,0.0,,16.5,0.0,0.0,2016,1,1,1,4,0,-1.2,breeze,1,0,0
2016-01-01 02:00:00,21.6,73.9,22.9,0.0,7.4,60.9,1014.0,0.0,,16.8,0.0,0.0,2016,1,1,2,4,0,-1.3,breeze,1,1,0
2016-01-01 03:00:00,20.9,77.4,22.2,0.0,7.7,62.2,1014.1,0.0,,16.8,0.0,0.0,2016,1,1,3,4,0,-1.3,breeze,1,1,0
2016-01-01 04:00:00,20.5,77.3,21.6,0.0,7.9,59.9,1014.1,0.0,,16.4,0.0,0.0,2016,1,1,4,4,0,-1.1,breeze,1,1,0
2016-01-01 05:00:00,20.3,75.9,21.1,0.0,8.5,62.4,1014.0,0.0,,15.9,0.0,0.0,2016,1,1,5,4,0,-0.8,breeze,1,1,0
2016-01-01 06:00:00,20.1,75.6,20.6,0.0,9.2,69.4,1014.9,0.0,,15.6,0.0,0.0,2016,1,1,6,4,0,-0.5,breeze,1,1,0
2016-01-01 07:00:00,19.8,76.3,20.3,0.0,9.2,78.7,1015.8,0.0,,15.5,3.0,1.0,2016,1,1,7,4,0,-0.5,breeze,1,1,0
2016-01-01 08:00:00,21.6,68.9,22.0,0.0,9.7,87.9,1016.8,0.0,,15.6,119.0,1.0,2016,1,1,8,4,0,-0.4,breeze,1,0,0
2016-01-01 09:00:00,25.0,55.4,25.4,0.0,9.4,87.8,1017.5,0.0,,15.4,327.0,1.0,2016,1,1,9,4,0,-0.4,breeze,1,0,0
2016-01-01 10:00:00,28.1,45.8,28.5,0.0,9.0,90.0,1018.0,0.0,,15.3,523.0,1.0,2016,1,1,10,4,0,-0.4,breeze,1,0,0
2016-01-01 11:00:00,30.8,37.1,31.7,0.0,8.4,97.4,1017.4,0.0,,14.5,672.0,1.0,2016,1,1,11,4,0,-0.9,breeze,1,0,0
2016-01-01 12:00:00,32.2,31.6,33.8,0.0,5.2,102.1,1016.7,0.0,,13.3,757.0,1.0,2016,1,1,12,4,0,-1.6,breeze,1,0,0
2016-01-01 13:00:00,32.9,29.0,35.1,0.0,0.4,90.0,1015.4,0.0,,12.5,771.0,1.0,2016,1,1,13,4,0,-2.2,calm,1,0,0
